,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,998154.4850901491
2,2021-10-05,1002111.3802409059
3,2021-10-06,1003494.2891490402
4,2021-10-07,1012168.0495815354
5,2021-10-08,1014475.5672579957
6,2021-10-11,1005049.9078330919
7,2021-10-12,1000645.4673477556
8,2021-10-13,998296.0240782243
9,2021-10-14,1013534.67048761
10,2021-10-15,1026337.9234627764
11,2021-10-18,1027238.56072921
12,2021-10-19,1031670.0753202974
13,2021-10-20,1031134.3293822329
14,2021-10-21,1032892.1232084046
15,2021-10-22,1029049.2465080644
16,2021-10-25,1030753.8821329805
17,2021-10-26,1031697.9404456255
18,2021-10-27,1025742.0235326844
19,2021-10-28,1028781.9123506891
20,2021-10-29,1036867.375359768
21,2021-11-01,1040437.6847474481
22,2021-11-02,1040558.5786463663
23,2021-11-03,1042641.2841495783
24,2021-11-04,1046748.1606588517
25,2021-11-05,1054831.1420915339
26,2021-11-08,1059253.9640456736
27,2021-11-09,1052653.928484028
28,2021-11-10,1047119.0378108255
29,2021-11-11,1040439.8574816972
30,2021-11-12,1046949.1151796266
31,2021-11-15,1047291.4292576525
32,2021-11-16,1050461.8070946962
33,2021-11-17,1040297.2700334856
34,2021-11-18,1037548.1616281816
35,2021-11-19,1031888.9358091508
36,2021-11-22,1027136.4552488481
37,2021-11-23,1028035.6988401567
38,2021-11-24,1029538.7431211625
39,2021-11-26,1008348.8282194291
40,2021-11-29,1016085.8687620317
41,2021-11-30,994385.5356779252
42,2021-12-01,972553.4477873002
43,2021-12-02,991997.5544004594
44,2021-12-03,985581.5579404985
45,2021-12-06,999266.6599760209
46,2021-12-07,1015909.5634946977
47,2021-12-08,1013624.4276456987
48,2021-12-09,1015572.7041959916
49,2021-12-10,1028817.0426664506
50,2021-12-13,1022831.5368986283
51,2021-12-14,1009755.1216764604
52,2021-12-15,1020622.4775724565
53,2021-12-16,1018590.6185636674
54,2021-12-17,1009047.6826658403
55,2021-12-20,996873.3218259965
56,2021-12-21,1012912.5538053666
57,2021-12-22,1020162.6778898393
58,2021-12-23,1022728.4580259477
59,2021-12-27,1033933.0313139115
60,2021-12-28,1033273.3919859086
61,2021-12-29,1033370.3673734819
62,2021-12-30,1030494.7981748735
63,2021-12-31,1027977.0888395463
64,2022-01-03,1033145.5279264604
65,2022-01-04,1032572.1049986039
66,2022-01-05,1014006.8517027055
67,2022-01-06,1013773.305590645
68,2022-01-07,1015784.7239713822
69,2022-01-10,1008218.5651731645
70,2022-01-11,1012753.0357999955
71,2022-01-12,1017913.366351143
72,2022-01-13,1005677.0324583207
73,2022-01-14,1002149.4281797563
74,2022-01-18,989704.701418892
75,2022-01-19,986314.0183134233
76,2022-01-20,979590.7785062944
77,2022-01-21,963154.2980985795
78,2022-01-24,960527.5854063188
79,2022-01-25,948979.6142759477
80,2022-01-26,950522.1134214555
81,2022-01-27,952401.8257017289
82,2022-01-28,991512.7444791947
83,2022-01-31,1001536.0316190873
84,2022-02-01,1006806.4593687211
85,2022-02-02,1013985.3067655717
86,2022-02-03,985886.5408964311
87,2022-02-04,988376.6205778276
88,2022-02-07,982498.780337349
89,2022-02-08,988014.1594419633
90,2022-02-09,1000082.2165250932
91,2022-02-10,981259.8391294633
92,2022-02-11,967066.7800626908
93,2022-02-14,964827.3689146196
94,2022-02-15,977215.2304411088
95,2022-02-16,976034.8732481156
96,2022-02-17,957564.2343321
97,2022-02-18,951516.9818601762
98,2022-02-22,949775.1337766801
99,2022-02-23,930185.2541990434
100,2022-02-24,944698.3000059281
101,2022-02-25,961512.7956876908
102,2022-02-28,955953.1237058793
103,2022-03-01,937801.995471016
104,2022-03-02,946620.2589750444
105,2022-03-03,940015.0238523637
106,2022-03-04,928821.4089231645
107,2022-03-07,897115.0272245561
108,2022-03-08,889502.14789106
109,2022-03-09,912935.8733091508
110,2022-03-10,907624.5647916947
111,2022-03-11,901439.0556821977
112,2022-03-14,900084.1432066117
113,2022-03-15,922365.1625700151
114,2022-03-16,943054.276721016
115,2022-03-17,947817.4201383744
116,2022-03-18,959074.8337125932
117,2022-03-21,951143.826495186
118,2022-03-22,961262.5517759477
119,2022-03-23,947122.0052061235
120,2022-03-24,958157.4983549272
121,2022-03-25,961418.9796018754
122,2022-03-28,970476.7808103715
123,2022-03-29,986612.4385709916
124,2022-03-30,979994.6325407182
125,2022-03-31,967343.4221067582
126,2022-04-01,977020.1992826615
127,2022-04-04,984641.639498726
128,2022-04-05,976324.7069273149
129,2022-04-06,960832.2516813432
130,2022-04-07,960874.2174558793
131,2022-04-08,957491.7648344194
132,2022-04-11,945459.4372129594
133,2022-04-12,938996.3338651811
134,2022-04-13,948914.2489957963
135,2022-04-14,938895.7011900102
136,2022-04-18,936567.5548429643
137,2022-04-19,951988.1175871049
138,2022-04-20,954740.8033933793
139,2022-04-21,946366.3896513139
140,2022-04-22,916213.3318510209
141,2022-04-25,922273.5075864946
142,2022-04-26,896363.6574278031
143,2022-04-27,914154.7596006547
144,2022-04-28,936415.5568266069
145,2022-04-29,909145.7735929643
146,2022-05-02,914041.6110105668
147,2022-05-03,912790.3235349809
148,2022-05-04,941968.6942472612
149,2022-05-05,908458.5651121293
150,2022-05-06,903080.1814298783
151,2022-05-09,882628.8175382768
152,2022-05-10,884456.1335325395
153,2022-05-11,874881.5891904985
154,2022-05-12,870432.5822324906
155,2022-05-13,883648.7146787797
156,2022-05-16,882951.1273985063
157,2022-05-17,891355.1215696489
158,2022-05-18,864227.7410383378
159,2022-05-19,857656.3635053788
160,2022-05-20,861998.7894456788
161,2022-05-23,881494.1003427126
162,2022-05-24,882294.1945352175
163,2022-05-25,888165.7565927126
164,2022-05-26,900889.5445108034
165,2022-05-27,917408.1344308474
166,2022-05-31,912286.7132882692
167,2022-06-01,913264.2445458986
168,2022-06-02,929485.0489053347
169,2022-06-03,918719.1001596071
170,2022-06-06,918075.970826111
171,2022-06-07,926519.7661447146
172,2022-06-08,919885.0020608522
173,2022-06-09,902340.0846566774
174,2022-06-10,875900.2173547365
175,2022-06-13,851350.4870233156
176,2022-06-14,850977.6799653016
177,2022-06-15,861708.1095595934
178,2022-06-16,840442.2854243013
179,2022-06-17,843738.866432892
180,2022-06-21,862503.1303222048
181,2022-06-22,861809.9573749277
182,2022-06-23,872421.5790561411
183,2022-06-24,896473.6624377939
184,2022-06-27,889060.2930682871
185,2022-06-28,868397.3057941172
186,2022-06-29,873828.3735202524
187,2022-06-30,865171.4732822153
188,2022-07-01,877610.9927219126
