,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-02-25,961512.7956876908,1022042.2792192992,1006500.3020115964,949031.874418851,982707.7290866394,1021329.9981285215,992201.0329585845
2022-02-28,955953.1237058793,1016677.5849596557,1003183.5571995847,945187.0013917781,976976.6733615417,1020364.2406808662,987360.7892235103
2022-03-01,937801.995471016,1004103.3968493041,980457.8237248532,920406.937272958,959161.2030093689,1017877.0412426309,969949.9543332437
2022-03-02,946620.2589750444,1024425.4047686156,998789.5592442624,930164.959629491,975810.1274936218,1038386.7250463843,987324.3741674323
2022-03-03,940015.0238523637,1022877.0186296996,994527.8279400937,924246.0352022487,970934.2470119018,1034479.498414288,984507.5557827451
2022-03-04,928821.4089231645,1020342.1751543578,985024.9374447934,913064.240424741,961733.0649211425,1033917.7169176573,979267.8844013149
2022-03-07,897115.0272245561,998780.3233171996,960982.3351002805,881102.9250662853,937541.5499103088,1012602.1446273789,956037.3545645248
2022-03-08,889502.14789106,994161.8321672973,957709.2436505429,877032.6493175594,932094.2831141967,993337.9533689936,950655.55066734
2022-03-09,912935.8733091508,1013933.1136309203,976412.9627286069,901615.5798299075,952035.1349589843,1018883.5674350271,969696.5283023505
2022-03-10,907624.5647916947,1012404.2452990111,970913.7308102719,896988.3727060558,945056.0363414306,1013376.1720306507,966428.5046134462
2022-03-11,901439.0556821977,1002865.4274736937,967178.1111127011,891601.2423380824,938773.4207179565,998195.4975210066,959731.6620036429
2022-03-14,900084.1432066117,1000002.3937822875,968561.3471089475,893028.281873193,934563.3560931701,992343.0035692037,959762.1596131083
2022-03-15,922365.1625700151,1018065.8079821166,990844.2722264401,909937.7796571666,952191.7572085876,1018763.499550667,977215.2132090154
2022-03-16,943054.276721016,1033183.3407579955,1005644.103780853,932924.0529866954,972547.5330760498,1034073.8031260893,992327.8028725561
2022-03-17,947817.4201383744,1046194.9976336058,1017039.5793744199,945603.6438839657,983424.8333919067,1048018.8350098357,1004495.0972816844
2022-03-18,959074.8337125932,1055163.030546814,1024230.4598561398,961041.6685073329,994349.7869403381,1061020.076960472,1012482.170847153
2022-03-21,951143.826495186,1049434.1341692505,1016031.0160580747,950272.7669816219,984657.3388774414,1053925.605326183,1006599.204740694
2022-03-22,961262.5517759477,1055115.77505365,1024284.2893811337,961251.8438771602,994823.1202418823,1061560.516319947,1014012.513578833
2022-03-23,947122.0052061235,1043651.9592272338,1009025.4564343564,943235.1149227459,978877.3599421997,1050835.0680428112,1000933.3634061004
2022-03-24,958157.4983549272,1051669.3521105347,1018365.7173443906,954626.9856509258,988409.6313350219,1064598.7703209857,1011113.3061297692
2022-03-25,961418.9796018754,1055244.2310167847,1022878.6222554318,957344.0191925822,991892.5630176086,1061672.2769845857,1015579.1575695408
2022-03-28,970476.7808103715,1055972.82243219,1025808.3984204404,963043.7899481975,994779.4579951782,1068009.5350226494,1018336.5738940007
2022-03-29,986612.4385709916,1065927.2404314575,1035921.6874714963,979276.6600823833,1006151.5100696106,1079302.276043667,1028191.9674303739
